,Slot,Aisle,Direction,SeqNo,Side,Bay,Slot_Pair
0,1,0, Down     ,1, R   ,61,"(0, 61)"
1,2,0, Down     ,2, R   ,60,"(0, 60)"
2,3,0, Down     ,3, L   ,61,"(0, 61)"
3,4,0, Down     ,4, L   ,60,"(0, 60)"
4,5,0, Down     ,5, R   ,59,"(0, 59)"
5,6,0, Down     ,6, R   ,58,"(0, 58)"
6,7,0, Down     ,7, L   ,59,"(0, 59)"
7,8,0, Down     ,8, L   ,58,"(0, 58)"
8,9,0, Down     ,9, R   ,57,"(0, 57)"
9,10,0, Down     ,10, R   ,56,"(0, 56)"
10,11,0, Down     ,11, L   ,57,"(0, 57)"
11,12,0, Down     ,12, L   ,56,"(0, 56)"
12,13,0, Down     ,13, R   ,55,"(0, 55)"
13,14,0, Down     ,14, R   ,54,"(0, 54)"
14,15,0, Down     ,15, L   ,55,"(0, 55)"
15,16,0, Down     ,16, L   ,54,"(0, 54)"
16,17,0, Down     ,17, R   ,53,"(0, 53)"
17,18,0, Down     ,18, R   ,52,"(0, 52)"
18,19,0, Down     ,19, L   ,53,"(0, 53)"
19,20,0, Down     ,20, L   ,52,"(0, 52)"
20,21,0, Down     ,21, R   ,51,"(0, 51)"
21,22,0, Down     ,22, R   ,50,"(0, 50)"
22,23,0, Down     ,23, L   ,51,"(0, 51)"
23,24,0, Down     ,24, L   ,50,"(0, 50)"
24,25,0, Down     ,25, R   ,49,"(0, 49)"
25,26,0, Down     ,26, R   ,48,"(0, 48)"
26,27,0, Down     ,27, L   ,49,"(0, 49)"
27,28,0, Down     ,28, L   ,48,"(0, 48)"
28,29,0, Down     ,29, R   ,47,"(0, 47)"
29,30,0, Down     ,30, R   ,46,"(0, 46)"
30,31,0, Down     ,31, L   ,47,"(0, 47)"
31,32,0, Down     ,32, L   ,46,"(0, 46)"
32,33,0, Down     ,33, R   ,45,"(0, 45)"
33,34,0, Down     ,34, R   ,44,"(0, 44)"
34,35,0, Down     ,35, L   ,45,"(0, 45)"
35,36,0, Down     ,36, L   ,44,"(0, 44)"
36,37,0, Down     ,37, R   ,43,"(0, 43)"
37,38,0, Down     ,38, R   ,42,"(0, 42)"
38,39,0, Down     ,39, L   ,43,"(0, 43)"
39,40,0, Down     ,40, L   ,42,"(0, 42)"
40,41,0, Down     ,41, R   ,41,"(0, 41)"
41,42,0, Down     ,42, R   ,40,"(0, 40)"
42,43,0, Down     ,43, L   ,41,"(0, 41)"
43,44,0, Down     ,44, L   ,40,"(0, 40)"
44,45,0, Down     ,45, R   ,39,"(0, 39)"
45,46,0, Down     ,46, R   ,38,"(0, 38)"
46,47,0, Down     ,47, L   ,39,"(0, 39)"
47,48,0, Down     ,48, L   ,38,"(0, 38)"
48,49,0, Down     ,49, R   ,37,"(0, 37)"
49,50,0, Down     ,50, R   ,36,"(0, 36)"
50,51,0, Down     ,51, L   ,37,"(0, 37)"
51,52,0, Down     ,52, L   ,36,"(0, 36)"
52,53,0, Down     ,53, R   ,35,"(0, 35)"
53,54,0, Down     ,54, R   ,34,"(0, 34)"
54,55,0, Down     ,55, L   ,35,"(0, 35)"
55,56,0, Down     ,56, L   ,34,"(0, 34)"
56,57,0, Down     ,57, R   ,33,"(0, 33)"
57,58,0, Down     ,58, R   ,32,"(0, 32)"
58,59,0, Down     ,59, L   ,33,"(0, 33)"
59,60,0, Down     ,60, L   ,32,"(0, 32)"
60,61,0, Down     ,61, R   ,31,"(0, 31)"
61,62,0, Down     ,62, L   ,31,"(0, 31)"
62,63,0, Down     ,63, L   ,30,"(0, 30)"
