,location,pick_index,tpnd,store_type,weight,mass_factor,merch_group,volume,aisle,Slot_Pair
0,1,1,126.0,1.0,20.626,170.274,2.0,0.1211341719816296,16,"(0, 61)"
1,2,2,17.0,1.0,22.994,1.386,3.0,16.59018759018759,16,"(0, 60)"
2,3,3,24.0,1.0,19.977,10.901,2.0,1.8325841665902207,16,"(0, 61)"
3,4,4,24.0,1.0,19.977,10.901,2.0,1.8325841665902207,16,"(0, 60)"
4,5,5,22.0,1.0,33.0,16.415,3.0,2.010356381358513,16,"(0, 59)"
5,6,6,6.0,1.0,33.0,14.192,3.0,2.325253664036077,16,"(0, 58)"
6,7,7,24.0,1.0,19.977,10.901,2.0,1.8325841665902207,16,"(0, 59)"
7,8,8,24.0,1.0,19.977,10.901,2.0,1.8325841665902207,16,"(0, 58)"
8,9,9,5.0,1.0,33.0,18.842,3.0,1.7514064324381702,16,"(0, 57)"
9,10,10,13883.0,1.0,18.049,20.96,3.0,0.8611164122137404,16,"(0, 56)"
10,11,11,26.0,1.0,18.779,20.15,3.0,0.9319602977667496,16,"(0, 57)"
11,12,12,30.0,1.0,14.017,3.084,3.0,4.545071335927367,16,"(0, 56)"
12,13,13,33.0,1.0,12.0,17.289,3.0,0.6940829429116779,16,"(0, 55)"
13,14,14,,,,,,,16,"(0, 54)"
14,15,15,44.0,1.0,5.061,7.945,3.0,0.6370044052863436,16,"(0, 55)"
15,16,16,44.0,1.0,5.061,7.945,3.0,0.6370044052863436,16,"(0, 54)"
16,17,17,39.0,1.0,3.336,5.892,3.0,0.5661914460285132,16,"(0, 53)"
17,18,18,39.0,1.0,3.336,5.892,3.0,0.5661914460285132,16,"(0, 52)"
18,19,19,44.0,1.0,5.061,7.945,3.0,0.6370044052863436,16,"(0, 53)"
19,20,20,44.0,1.0,5.061,7.945,3.0,0.6370044052863436,16,"(0, 52)"
20,21,21,1922.0,1.0,13.956,10.549,46.0,1.3229690018011186,16,"(0, 51)"
21,22,22,1957.0,1.0,13.972,9.804,46.0,1.4251325989392083,16,"(0, 50)"
22,23,23,1912.0,1.0,13.98,10.486,46.0,1.333206179668129,16,"(0, 51)"
23,24,24,1927.0,1.0,13.98,10.816,46.0,1.2925295857988166,16,"(0, 50)"
24,25,25,1938.0,1.0,13.784,11.047,46.0,1.247759572734679,16,"(0, 49)"
25,26,26,1919.0,1.0,13.202,10.92,46.0,1.208974358974359,16,"(0, 48)"
26,27,27,1898.0,1.0,12.938,11.011,46.0,1.175006811370448,16,"(0, 49)"
27,28,28,1903.0,1.0,13.403,11.329,46.0,1.1830699973519287,16,"(0, 48)"
28,29,29,1896.0,1.0,12.363,10.928,46.0,1.131314055636896,16,"(0, 47)"
29,30,30,1892.0,1.0,13.036,10.817,46.0,1.2051400573171858,16,"(0, 46)"
30,31,31,1909.0,1.0,13.036,10.579,46.0,1.2322525758578315,16,"(0, 47)"
31,32,32,1913.0,1.0,13.284,10.814,46.0,1.2284076197521732,16,"(0, 46)"
32,33,33,1977.0,1.0,12.597,11.309,46.0,1.1138915907684146,16,"(0, 45)"
33,34,34,272610.0,1.0,12.597,11.309,46.0,1.1138915907684146,16,"(0, 44)"
34,35,35,112278.0,1.0,12.597,11.309,46.0,1.1138915907684146,16,"(0, 45)"
35,36,36,1931.0,1.0,13.061,10.967,46.0,1.1909364457007383,16,"(0, 44)"
36,37,37,1925.0,1.0,12.855,9.418,46.0,1.3649394775960928,16,"(0, 43)"
37,38,38,1981.0,1.0,12.855,10.191,46.0,1.261407123932882,16,"(0, 42)"
38,39,39,1973.0,1.0,12.784,11.359,46.0,1.125451184083106,16,"(0, 43)"
39,40,40,1982.0,1.0,12.784,11.252,46.0,1.136153572698187,16,"(0, 42)"
40,41,41,1979.0,1.0,12.813,9.455,46.0,1.3551560021152829,16,"(0, 41)"
